"시군구_코드","시군구","충전유형","회원가_평균","비회원가_평균","데이터수"
11110,종로구 ,급속,357.56,472.28,103
11110,종로구 ,완속,305.3,445.47,1129
11140,중구 ,급속,339.42,423.38,169
11140,중구 ,완속,307.54,451.39,1586
11170,용산구 ,급속,348.92,402.99,152
11170,용산구 ,완속,310.87,421.35,1693
11200,성동구 ,급속,343.26,408.82,136
11200,성동구 ,완속,311.74,427.54,3425
11215,광진구 ,급속,346.07,445.85,82
11215,광진구 ,완속,311.86,429.15,1200
11230,동대문구 ,급속,348.5,442.07,98
11230,동대문구 ,완속,305.92,428.77,1870
11260,중랑구 ,급속,341.13,410.29,146
11260,중랑구 ,완속,312.88,425.29,2047
11290,성북구 ,급속,342.46,426.16,97
11290,성북구 ,완속,312.5,428.48,2939
11305,강북구 ,급속,350.09,430.55,98
11305,강북구 ,완속,309.07,435.13,1046
11320,도봉구 ,급속,337.37,410.54,170
11320,도봉구 ,완속,313.56,432.39,1448
11350,노원구 ,급속,339.59,417.38,235
11350,노원구 ,완속,313.06,424.54,3169
11380,은평구 ,급속,357.5,474.74,133
11380,은평구 ,완속,310.92,439.83,2460
11410,서대문구 ,급속,343.91,437.67,99
11410,서대문구 ,완속,309.65,430.52,1994
11440,마포구 ,급속,348.44,433.04,178
11440,마포구 ,완속,311.72,429.0,3092
11470,양천구 ,급속,343.85,431.05,149
11470,양천구 ,완속,310.42,428.76,1797
11500,강서구 ,급속,346.42,446.96,282
11500,강서구 ,완속,307.19,436.0,4054
11530,구로구 ,급속,333.0,408.61,160
11530,구로구 ,완속,309.5,436.63,2968
11545,금천구 ,급속,354.99,479.27,153
11545,금천구 ,완속,308.97,460.43,1701
11560,영등포구 ,급속,356.79,452.39,227
11560,영등포구 ,완속,309.36,444.41,3176
11590,동작구 ,급속,343.04,405.39,83
11590,동작구 ,완속,309.15,442.28,1888
11620,관악구 ,급속,351.78,461.81,105
11620,관악구 ,완속,312.31,431.59,1339
11650,서초구 ,급속,352.4,449.69,192
11650,서초구 ,완속,310.29,445.68,4125
11680,강남구 ,급속,353.75,460.89,254
11680,강남구 ,완속,309.37,436.1,5205
11710,송파구 ,급속,347.02,435.65,273
11710,송파구 ,완속,310.94,425.08,4977
11740,강동구 ,급속,344.86,429.78,148
11740,강동구 ,완속,308.78,442.21,2578
