source,question,answer
mugonghae,완속충전시설 설치지원사업으로 얼마의 보조금을 지원받을 수 있나요?,"A
[‘23년 완속충전시설 보조금 지원 단가]
- 30kW 이상 : 500만원(1기), 400만원(2기), 350만원(3기 이상)
- 11W 이상 : 160만원(1기), 140만원(2기~5기), 120만원(6기 이상)
- 7W 이상 ~ 11kW 미만 : 140만원(1기), 120만원(2~5기), 100만원(6기 이상)
-키오스크 충전기 :140만원(2기)
-전력분배형 충전기 :110만원/기  
-과금형콘센트 : 35만원/기                                                                  
※ 보조금은 지원 가능한 최대 금액을 말하며, 보조금 한도를 초과하여 발생한 충전기 설치 비용은 설치희망자가 부담함"
mugonghae,신청 방법이 어떻게 되나요?,"A
[‘23년 완속충전기 설치지원 사업 관련]
공동주택, 사업장, 대규모 주차장 등의 소유 및 운영 주체 중 공용 완속충전시설 설치희망자가 직접 신청서를 작성하고 접수를 해야합니다.
- 무공해차 통합누리집(www.ev.or.kr) 접속 -> ‘공용 완속충전시설 직접시청 버튼’ 클릭 -> 충전기 수량 등 확인 후 신청서 작성
※ 단, 상황에 따라 선택한 사업자가 아닌 다른 사업자가 배정될 수 있으며, 설치 후 5년 이내에 철거 시 보조금이 환수됩니다."
mugonghae,완속충전기 설치지원 사업의 보조금으로 급속충전기 설치 가능한가요?,"A
[‘23년 완속충전기 설치지원 사업 관련]
해당 사업의 취지에 맞게 완속충전기 설치지원사업에서는 완속충전기에 대한 보조금만 지급됩니다."
mugonghae,완속충전기 하자보증기간이 있나요?,"A
[‘23년 완속충전기 설치지원 사업 관련]
완속충전기의 하자보증기간은 5년이며, 하자보증기간이 끝난 이후의 사후관리는 소유자에게 책임이 있습니다."
mugonghae,완속충전시설 의무 사용기간이 있나요?,"A
[‘23년 완속충전기 설치지원 사업 관련]
충전시설 소유자 및 사업수행기관은 최소 5년간 해당 충전시설을 운영, 관리 하여야 하며,
충전시설 소유자가 5년 이내에 충전시설을 철거하는 경우 보조금을 환수 조치할 수 있음"
mugonghae,SM3 ZE의 경우 커넥터 분리가 힘들어요.,"A
SM3 ZE의 경우 차량키에 커넥터 분리 버튼(플러그 모양)을
 누르신 후 분리하시기 바랍니다."
mugonghae,전기자동차 충전이 안 될 경우 어떻게 하나요?,"A
전기자동차의 특성(주행거리)상
 급속충전기 고장 등 만약의 경우를 대비하여
 반드시 충전잔량을 30% 이상 유지하여 주시기 바라며,
   급속충전기가 작동되지 않을 경우
 한국자동차환경협회(1661-9408)로 연락하시면
 가장 가까운 급속충전소 위치 및 원격지원 등의
 도움을 받으실 수 있습니다."
mugonghae,전기자동차 급속충전소는 모두 24시간 운영되나요?,"A
공단에서 운영하고 있는 대부분의 급속충전소는
 24시간 이용이 가능하지만,
 일부 대형할인점의 경우
 영업시간에만 충전소 이용이 가능하며,
   [정보마당-자료실]의 “환경부 전국 급속충전시설 위치 및 이용가능 시간 안내”를
 확인하여 주시기 바랍니다."
mugonghae,전기자동차 차종별 급속충전방식은 다른가요?,"A
국내 보급대상 전기자동차 차종별 급속충전방식은 서로 다르므로
 해당 차량의 충전방식에 적합한 급속충전소를 이용하여 주시기 바랍니다.
 전기차소개/전기차 충전정보 메뉴에서 차종 충전방식을 확인할 수 있습니다."
mugonghae,급속충전기 이용방법은 어떻게 되나요?,"A
전기자동차 급속충전기 이용방법은 [참여마당-자료실]의
 “급속충전기 이용매뉴얼”을 참고하여 주시기 바랍니다."
mugonghae,전국 급속충전기 위치는 어떻게 확인하나요?,"A
PC나 스마트폰에서 환경부 전기차 충전소(www.ev.or.kr)로
 접속하시면 급속충전기 위치 등을 확인하실 수 있습니다."
mugonghae,급속충전기 이용 시 충전카드를 소지해야 하나요?,"A
환경부에서 운영중인 급속충전기는 회원카드를 소지하지 않아도 충전이 가능합니다.
 충전기 화면의 [비회원] 버튼을 누르면 자동인증이 이루어지고,
결제 가능한 카드로 결제 후 충전하실 수 있습니다.
 * 결제 가능한 카드 : 후불교통기능이 있는 신한, BC, 국민, 현대, 삼성, 롯데, IBK기업, 씨티
 (개별수입 중고 전기자동차  또는 개조 전기자동차 제외)"
mugonghae,전기자동차 렌트카 또는 카셰어링을 이용할 경우 충전카드를 발급받아야 하나요?,"A
전기자동차 렌트카 또는 카셰어링을 이용하실 경우
 해당차량 내 충전카드가 비치되어 있어
 별도 발급을 받으시지 않아도 됩니다.
   만약 충전카드가 비치되어 있지 않다면,
 렌트카 또는 카셰어링 회사 고객센터에 문의하여 주시기 바랍니다."
